person_id,full_name,nationality,specialisation
1,Ishirō Honda,Japanese,Screenwriter
2,Toshiro Mifune,Japanese,Actor
3,Tullio Pinelli,Italian,Screenwriter
4,Giulietta Masina,Italian,Actor
5,Harriet Andersson,Swedish,Actor
6,Bibi Andersson,Swedish,Actor
7,Arthur C. Clarke,British,Screenwriter
8,Malcolm McDowell,British,Actor
9,Jean-Paul Belmondo,French,Actor
10,Jeanne Moreau,French,Actor
11,Bernard Herrmann,American,Composer
12,Kim Novak,American,Actor
13,Marlon Brando,American,Actor
14,Robert Duvall,American,Actor
15,Jodie Foster,American,Actor
16,Robert De Niro,American,Actor
17,Eduard Artemyev,Russian,Composer
18,Tony Leung,Hong Kong,Actor
19,Maggie Cheung,Hong Kong,Actor
20,Cecilia Roth,Spanish,Actor
21,Javier Bardem,Spanish,Actor
22,Hossain Sabzian,Iranian,Actor
23,Homayoun Ershadi,Iranian,Actor
24,Linda Manz,American,Actor
25,Brad Pitt,American,Actor
26,Isabella Rossellini,Italian,Actor
27,Naomi Watts,American,Actor
28,Corinne Marchand,French,Actor
29,Sandrine Bonnaire,French,Actor
30,Mbissine Thérèse Diop,Senegalese,Actor
31,Thierno Leye,Senegalese,Actor
32,Delphine Seyrig,French,Actor
33,Kanu Bannerjee,Indian,Actor
34,Soumitra Chatterjee,Indian,Actor
35,Tatsuya Nakadai,Japanese,Actor
36,Nino Rota,Italian,Composer
37,Max von Sydow,Swedish,Actor
38,R. Lee Ermey,American,Actor
39,Anna Karina,Danish,Actor
40,Oskar Werner,Austrian,Actor
41,Akim Tamiroff,Russian,Actor
42,Grace Kelly,American,Actor
43,Al Pacino,American,Actor
44,Joe Pesci,American,Actor
45,Anatoli Solonitsyn,Russian,Actor
46,Faye Dunaway,American,Actor
47,Nicole Kidman,Australian,Actor
48,Rula Jebreal,Palestinian,Actor
49,Penélope Cruz,Spanish,Actor
50,Babak Ahmadpour,Iranian,Actor
