film_id,title,release_year,country,synopsis,director_id,cinematographer_id,budget,language,runtime_min
1,Rashomon,1950,Japan,A murder is recounted by four unreliable witnesses in feudal Japan.,1,1,,Japanese,88
2,Seven Samurai,1954,Japan,A poor village hires seven masterless samurai to protect them from bandits.,1,1,,Japanese,207
3,La Dolce Vita,1960,Italy,A journalist wanders through Rome's celebrity nightlife seeking meaning.,2,2,,Italian,174
4,8½,1963,Italy,A filmmaker struggles with creative block while juggling memory and fantasy.,2,2,,Italian,138
5,The Seventh Seal,1957,Sweden,A knight returning from the Crusades plays chess with Death.,3,3,,Swedish,96
6,Persona,1966,Sweden,A nurse caring for a mute actress begins to lose her own identity.,3,3,,Swedish,83
7,2001: A Space Odyssey,1968,UK,A voyage to Jupiter descends into confrontation between man and artificial intelligence.,4,4,10500000,English,149
8,A Clockwork Orange,1971,UK,A violent young man undergoes experimental aversion therapy in a dystopian Britain.,4,4,2200000,English,136
9,Breathless,1960,France,A small-time car thief goes on the run in Paris with an American student.,5,5,400000,French,90
10,The 400 Blows,1959,France,A misunderstood Parisian boy drifts toward delinquency after repeated failures at school.,6,6,,French,99
11,Citizen Kane,1941,USA,The life of a media magnate is pieced together after his death through testimonies.,7,7,839727,English,119
12,Vertigo,1958,USA,A detective with a fear of heights becomes obsessed with a mysterious woman.,8,8,2479000,English,128
13,The Godfather,1972,USA,The patriarch of a powerful crime family reluctantly hands power to his son.,9,9,6000000,English,175
14,Apocalypse Now,1979,USA,A Special Forces captain is sent into the jungle to assassinate a rogue colonel.,9,9,31500000,English,147
15,Taxi Driver,1976,USA,A mentally unstable veteran works as a night-time cab driver in a decaying New York.,10,10,1300000,English,114
16,Goodfellas,1990,USA,The rise and fall of a mobster over three decades in the New York underworld.,10,10,25000000,English,146
17,Andrei Rublev,1966,USSR,An icon painter journeys through a turbulent 15th century Russia.,11,11,,Russian,183
18,Stalker,1979,USSR,A guide leads two men into the mysterious Zone where wishes are supposedly granted.,11,11,,Russian,162
19,In the Mood for Love,2000,Hong Kong,Two neighbours suspect their spouses of having an affair and grow close.,12,12,,Cantonese,98
20,Chungking Express,1994,Hong Kong,Two heartbroken policemen navigate lonely city life and unexpected connections.,12,12,,Cantonese,102
21,All About My Mother,1999,Spain,A nurse travels to Barcelona to find the father of her late son.,13,13,3000000,Spanish,101
