vote_id,link_id,user_id,vote,voted_at
1,12,1,1,2024-12-18 13:20:42
2,18,1,1,2021-08-15 11:51:11
3,15,1,-1,2021-05-24 18:14:10
4,7,1,1,2021-07-02 05:43:08
5,26,1,1,2023-11-09 06:35:49
6,11,1,1,2021-11-02 14:35:54
7,11,2,1,2022-06-18 17:13:41
8,20,2,-1,2022-08-08 02:09:49
9,30,2,1,2022-12-27 01:45:11
10,14,2,1,2021-01-22 05:44:54
11,25,2,1,2022-05-16 11:29:31
12,6,2,1,2024-02-26 00:35:32
13,3,2,1,2021-09-06 08:38:50
14,15,2,-1,2023-02-16 20:14:29
15,28,2,1,2024-04-03 00:44:35
16,8,3,1,2023-03-06 18:28:29
17,11,3,-1,2021-05-13 06:54:09
18,10,3,1,2022-12-02 01:57:21
19,2,3,1,2021-10-13 14:59:00
20,30,3,1,2023-11-07 04:35:53
21,9,3,1,2023-07-07 07:09:58
22,24,3,1,2023-05-29 02:00:26
23,28,3,1,2023-02-14 06:28:20
24,20,3,1,2021-08-19 00:47:02
25,13,3,1,2024-03-04 06:20:14
26,12,4,1,2024-12-17 01:48:56
27,2,4,1,2021-11-03 05:25:08
28,8,4,-1,2024-12-12 14:42:51
29,26,4,1,2024-07-10 12:52:24
30,10,4,1,2024-12-03 05:27:42
31,16,4,1,2021-09-19 05:54:55
32,20,4,-1,2024-03-08 21:51:56
33,23,4,-1,2021-06-11 06:05:17
34,4,5,-1,2023-01-25 19:13:15
35,26,5,1,2024-11-19 14:57:03
36,11,5,1,2023-02-03 09:37:55
37,28,5,-1,2021-09-05 14:56:32
38,23,6,1,2023-06-09 05:55:38
39,18,6,-1,2021-03-31 11:39:18
40,2,6,1,2024-09-25 07:37:50
41,15,6,-1,2021-10-10 01:38:58
42,22,6,1,2023-03-01 02:04:28
43,17,6,1,2023-11-15 14:51:26
44,7,6,1,2021-03-26 22:31:44
45,24,6,1,2021-03-06 20:29:43
46,14,6,1,2024-08-06 19:21:31
47,28,6,-1,2022-12-25 07:28:46
48,18,7,-1,2022-12-14 17:06:36
49,29,7,1,2024-03-07 10:58:41
50,20,7,1,2021-10-05 18:15:30
51,26,7,1,2023-04-27 10:31:00
52,25,7,-1,2021-05-20 01:27:16
53,15,7,1,2022-05-04 16:06:50
54,10,7,-1,2023-12-07 17:25:50
55,13,7,-1,2022-03-05 20:08:29
56,5,7,-1,2021-03-25 07:15:43
57,30,8,1,2024-12-19 09:29:08
58,4,8,-1,2022-09-15 08:21:54
59,2,8,1,2022-01-05 07:35:41
60,23,8,1,2024-02-22 10:45:28
61,7,9,-1,2024-12-27 09:12:09
62,30,9,1,2024-04-26 07:42:53
63,23,9,-1,2022-04-19 03:14:44
64,6,9,1,2024-06-07 00:33:39
65,26,9,-1,2023-05-20 18:07:34
66,4,9,1,2021-08-02 02:11:05
67,9,10,1,2023-06-19 05:15:03
68,27,10,1,2024-02-19 22:04:28
69,6,10,1,2021-02-08 02:54:35
70,4,10,1,2022-04-26 07:33:55
71,16,10,-1,2023-06-12 06:24:00
72,17,10,1,2022-12-29 12:30:37
73,24,10,1,2023-05-30 16:17:16
74,18,11,1,2023-11-15 21:46:13
75,28,11,1,2021-05-13 14:54:18
76,2,11,1,2023-09-14 16:29:35
77,16,11,-1,2023-08-11 00:00:43
78,11,11,1,2023-10-24 16:29:04
79,14,11,1,2022-11-18 22:06:05
80,21,11,1,2022-02-01 00:58:04
81,8,12,-1,2024-10-19 07:01:17
82,16,12,1,2023-10-14 16:56:34
83,21,12,1,2022-02-12 23:30:54
84,10,12,-1,2022-06-11 11:01:09
85,28,12,-1,2024-01-07 16:51:31
86,26,12,-1,2021-09-28 09:40:48
87,17,13,1,2022-07-01 16:01:48
88,24,13,1,2021-09-24 19:12:50
89,10,13,-1,2022-03-26 15:49:29
90,2,13,-1,2021-10-28 22:32:26
91,1,13,1,2021-03-08 00:26:13
92,22,14,1,2022-02-08 06:36:27
93,19,14,1,2021-06-23 00:40:32
94,7,14,-1,2021-05-06 23:06:37
95,27,14,1,2021-11-02 10:59:46
96,8,14,-1,2023-09-27 03:13:07
97,16,15,1,2022-12-16 15:37:35
98,2,15,1,2022-10-16 01:37:38
99,23,15,1,2021-08-13 00:30:26
100,20,15,1,2024-12-06 02:50:33
101,22,15,1,2022-12-13 09:56:38
102,7,15,1,2024-04-19 06:50:18
103,28,15,1,2023-10-24 03:37:29
104,17,15,-1,2023-05-08 15:51:10
105,27,15,1,2022-04-14 00:11:39
106,4,16,1,2021-09-28 14:35:57
107,24,16,-1,2023-06-07 17:47:15
108,16,16,1,2022-07-04 00:31:13
109,10,16,1,2021-09-05 02:38:47
110,2,16,-1,2023-03-31 23:02:54
111,14,16,1,2021-09-02 23:22:04
112,5,16,1,2021-12-01 20:38:33
113,29,16,1,2021-11-04 01:03:33
114,18,16,-1,2024-04-03 00:53:32
115,22,16,1,2021-07-15 23:02:09
116,13,17,1,2021-12-14 10:20:00
117,14,17,1,2021-03-18 06:24:34
118,6,17,1,2022-12-10 13:37:31
119,27,17,1,2023-12-08 20:02:39
120,22,17,-1,2023-03-31 02:07:13
121,26,17,1,2021-07-09 01:10:25
122,21,18,1,2023-09-26 04:08:44
123,30,18,1,2021-07-23 05:32:02
124,12,18,1,2023-07-22 01:30:40
125,17,18,1,2024-08-04 17:20:08
126,29,18,1,2024-09-07 10:33:26
127,15,18,-1,2024-09-30 16:23:42
128,27,18,1,2023-12-06 18:49:54
129,6,18,1,2022-04-14 03:17:41
130,10,18,1,2021-05-08 13:09:04
131,27,19,1,2021-05-09 13:00:21
132,14,19,-1,2024-04-23 08:12:38
133,22,19,1,2022-11-10 09:09:24
134,10,19,-1,2024-05-20 17:54:30
135,1,20,1,2023-01-18 20:30:50
136,25,20,-1,2024-05-24 21:53:05
137,16,20,-1,2023-08-21 21:25:34
138,14,20,1,2022-09-14 09:14:36
