list_id,film_id,added_at
1,10,2020-05-06 12:52:08
1,37,2021-03-11 14:29:59
1,39,2020-09-04 12:15:14
1,53,2020-03-24 01:59:56
2,53,2024-01-08 04:16:04
2,10,2021-01-17 03:50:26
2,38,2024-04-05 07:06:33
2,26,2024-04-01 12:12:40
2,40,2022-01-01 01:29:14
2,52,2021-09-19 11:01:14
3,42,2023-09-10 16:05:59
3,57,2020-12-08 02:40:58
3,46,2022-04-20 23:12:58
3,3,2022-02-06 12:55:01
3,39,2020-03-10 00:25:30
4,18,2024-10-22 20:49:55
4,28,2022-08-17 02:24:20
4,50,2024-10-23 12:24:40
4,32,2022-01-29 21:19:15
4,4,2021-10-18 14:49:54
4,47,2023-03-24 13:46:54
4,46,2020-01-04 18:29:03
5,38,2024-09-28 04:17:22
5,25,2024-03-26 09:46:37
5,4,2021-09-18 06:02:17
5,59,2021-11-17 19:23:05
6,50,2023-07-04 15:13:49
6,39,2023-01-04 05:19:47
6,40,2024-07-07 00:05:09
6,24,2023-05-29 02:23:26
6,42,2023-03-19 06:24:33
6,58,2020-12-08 08:39:25
6,12,2020-12-02 14:47:10
6,55,2023-08-20 07:47:51
6,6,2024-11-10 02:11:46
7,13,2024-08-08 19:07:30
7,54,2020-04-17 10:32:03
7,9,2020-10-03 09:58:30
7,51,2021-07-01 21:36:32
7,7,2023-05-30 19:37:15
7,58,2022-02-02 20:28:15
7,10,2020-12-31 21:12:58
7,18,2023-11-30 10:09:39
7,57,2020-08-14 12:42:20
8,33,2022-10-19 18:01:45
8,3,2022-10-15 00:55:03
8,47,2024-01-10 01:23:24
8,31,2024-04-13 07:26:23
8,38,2024-12-27 15:31:17
8,51,2023-12-09 10:15:17
8,11,2021-08-24 20:32:41
8,39,2024-12-30 00:31:09
8,13,2022-07-03 16:53:09
8,15,2020-02-10 07:54:59
9,33,2024-04-05 13:22:49
9,24,2022-09-20 14:47:05
9,56,2023-04-18 22:21:39
9,41,2020-06-14 05:48:14
9,45,2021-05-25 17:59:46
9,29,2023-02-22 17:08:00
9,9,2020-03-25 16:35:36
9,35,2020-10-24 20:39:24
9,58,2023-12-22 06:51:51
10,59,2022-12-24 00:44:57
10,11,2020-10-22 14:14:06
10,39,2020-05-20 05:37:34
10,10,2021-07-14 11:36:33
10,21,2020-02-13 23:39:28
10,37,2023-06-04 23:33:36
10,33,2022-01-06 23:09:35
11,15,2023-08-09 12:12:53
11,20,2022-12-21 16:44:14
11,21,2021-06-06 06:07:41
11,25,2020-11-16 21:04:11
12,14,2022-02-08 20:35:41
12,38,2020-01-15 11:26:02
12,22,2021-01-27 23:08:49
12,3,2020-09-13 10:16:30
12,45,2021-11-10 00:47:52
12,49,2020-04-13 21:06:57
13,34,2024-01-15 21:51:08
13,38,2022-12-04 23:44:47
13,26,2022-01-15 05:12:26
13,7,2023-02-15 16:56:41
13,11,2024-08-28 22:25:00
13,14,2024-06-25 11:18:54
14,23,2020-03-29 04:52:19
14,12,2023-08-16 02:31:47
14,35,2021-08-10 15:40:51
14,30,2022-05-13 07:24:03
14,40,2021-05-09 03:43:29
14,57,2020-11-04 03:02:43
14,34,2020-06-18 23:27:57
14,41,2020-12-15 18:09:23
14,29,2021-04-22 01:29:55
14,1,2020-05-03 02:05:34
15,20,2022-10-08 23:27:19
15,29,2022-04-01 02:01:34
15,51,2023-03-06 21:31:39
16,22,2021-11-05 18:20:32
16,59,2023-05-22 11:03:53
16,31,2021-05-22 10:02:50
17,59,2023-12-14 02:21:12
17,33,2020-10-23 05:42:40
17,9,2022-12-19 23:52:43
17,12,2020-09-26 22:30:20
17,32,2020-09-17 02:43:02
17,50,2024-02-08 05:53:20
17,16,2020-12-08 07:33:17
18,3,2021-08-17 21:52:05
18,42,2024-08-27 00:41:22
18,34,2022-01-19 22:29:34
18,31,2022-08-21 21:49:23
18,13,2024-10-05 16:41:16
18,26,2023-04-12 10:09:48
18,23,2021-07-23 03:14:39
18,37,2021-12-07 08:08:28
18,14,2021-01-05 17:01:21
18,51,2023-03-04 23:27:05
19,60,2021-06-04 06:30:06
19,38,2021-02-28 06:55:20
19,5,2020-08-09 12:46:27
19,44,2020-10-17 16:47:31
19,32,2021-12-21 22:53:16
19,25,2021-02-11 17:08:41
20,42,2023-03-07 22:17:32
20,28,2023-01-12 19:23:39
20,59,2020-04-06 08:17:11
20,29,2023-10-27 11:44:51
20,9,2024-06-08 02:00:48
20,1,2020-06-17 21:59:46
21,58,2022-08-08 16:50:53
21,5,2024-08-02 12:36:51
21,9,2023-07-15 08:51:27
21,17,2022-09-26 07:35:07
21,52,2021-11-14 08:25:10
21,28,2023-05-29 17:43:22
21,37,2021-09-08 08:33:24
21,57,2024-04-20 19:40:19
22,21,2023-01-07 09:16:30
22,33,2021-11-08 19:08:24
22,50,2022-06-10 03:56:19
22,25,2023-04-24 05:47:44
22,59,2022-10-26 21:14:24
22,43,2023-05-22 19:15:19
22,27,2021-04-11 07:37:02
22,18,2024-12-11 23:47:32
23,59,2021-02-23 22:59:31
23,53,2024-02-23 22:07:20
23,56,2024-06-21 01:01:15
23,2,2023-02-01 11:14:28
23,33,2023-08-10 16:07:15
23,47,2022-04-22 00:04:18
23,48,2024-06-03 12:45:58
24,17,2022-02-09 02:01:28
24,4,2024-03-17 12:02:47
24,50,2022-11-09 13:30:14
24,44,2023-01-17 12:06:01
24,7,2023-04-04 12:59:37
25,18,2021-02-15 13:47:32
25,36,2023-04-05 20:50:53
25,31,2022-11-03 04:05:17
25,44,2024-09-02 18:51:44
25,33,2024-03-30 19:07:05
25,57,2021-01-02 12:20:39
25,46,2024-04-01 14:05:32
25,54,2020-12-29 12:41:37
26,55,2021-09-06 23:56:50
26,57,2020-06-23 10:26:38
26,33,2024-10-03 08:30:51
26,11,2024-10-24 01:25:06
26,54,2023-01-05 15:24:28
26,41,2022-11-01 01:34:06
26,53,2021-08-04 23:49:23
26,15,2024-10-01 06:09:43
26,27,2022-05-06 09:57:47
27,34,2023-07-23 03:10:37
27,9,2024-02-02 18:41:06
27,17,2023-05-21 15:24:09
27,1,2021-07-11 20:30:53
27,12,2023-10-24 04:47:16
27,58,2020-06-06 03:43:08
27,19,2021-11-28 15:50:31
27,23,2022-04-06 14:28:46
28,4,2024-12-10 02:23:21
28,32,2020-09-18 08:29:35
28,21,2024-11-18 16:06:14
28,29,2020-11-05 14:22:37
28,14,2022-03-19 12:22:38
28,59,2022-08-29 04:00:36
28,8,2023-11-08 21:27:51
